,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
65,07/03/2023 21:13:39,@YahooFinance,Yahoo Finance,“We've had a lot of layoffs for a couple of different reasons” Evercore ISI Head of Internet Research Mark Mahaney says. Tech “overemployed overhired [and] overbuilt.” https://t.co/H380yhD5G0,https://twitter.com/YahooFinance/status/1633214348616245254,Twitter Media Studio - LiveCut,New,1,5
66,07/03/2023 21:00:21,@YahooFinance,Yahoo Finance,“Taking away safety regulations was a bad idea” BLET VP &amp; National Legal Representative Vince Verna says on the Norfolk Southern derailment. “We're starting to see that these accidents come home to roost so to speak. … We could really use more regulatory oversight.” https://t.co/KNfKCl8Ph4,https://twitter.com/YahooFinance/status/1633211002333323265,Twitter Media Studio - LiveCut,New,2,4
67,07/03/2023 20:50:07,@YahooFinance,Yahoo Finance,“3% should probably be the Fed's target but they're still stuck on [2%]” @fsinvestments Troy Gayeski says. “The labor market continues to do exceptionally well… while financial assets are taking it on the chin.” https://t.co/NsfcCwgzSq,https://twitter.com/YahooFinance/status/1633208430226710530,Twitter Media Studio - LiveCut,New,5,15
68,07/03/2023 20:41:15,@YahooFinance,Yahoo Finance,“There's a big persistent imbalance between labor demand and labor supply” Bank of American Head of U.S. Economics Michael Gapen says. “And that is one of the factors helping to keep inflation elevated.” https://t.co/7CEKfhhEWZ,https://twitter.com/YahooFinance/status/1633206196600549376,Twitter Media Studio - LiveCut,New,7,18
69,07/03/2023 20:35:14,@YahooFinance,Yahoo Finance,“We're just in a very different investment environment than '09 to '21” @fsinvestments Troy Gayeski says. “As an investor you want to focus on protecting capital take less risks maturely accept low returns… and make sure you don't get carried away with bear market rallies.” https://t.co/iGqTdKLp0Y,https://twitter.com/YahooFinance/status/1633204682167398401,Twitter Media Studio - LiveCut,New,2,12
70,07/03/2023 20:33:30,@YahooFinance,Yahoo Finance,"“The door is open for a faster pace of rate hikes” Bank of American Head of U.S. Economics Michael Gapen says. “There's a series of data points between now and March 24… [that could lead the Fed] to switch back to 50 basis points."" https://t.co/Xsx78tchR8",https://twitter.com/YahooFinance/status/1633204248367321090,Twitter Media Studio - LiveCut,New,2,12
71,07/03/2023 20:27:01,@YahooFinance,Yahoo Finance,Walgreens internal memo says it is following the law on abortion pill distribution https://t.co/4IDvq5c39B by @AnjKhem,https://twitter.com/YahooFinance/status/1633202616103747584,SocialFlow,New,0,4
72,07/03/2023 20:26:20,@YahooFinance,Yahoo Finance,"RT @yfinanceplus: $RIVN shares are down more than 14.5% in regular trading today at $14.64/share.

A year ago today one share was worth $…",https://twitter.com/YahooFinance/status/1633202442673242113,Twitter Web App,Retweet (native),5,24
73,07/03/2023 20:03:59,@YahooFinance,Yahoo Finance,"Apple has announced yellow has been added to the iPhone 14 lineup. Will the new color help drive sales? 

Let us know does your iPhone color matter to you?",https://twitter.com/YahooFinance/status/1633196819697086467,Twitter Web App,New,1,6
74,07/03/2023 20:00:35,@YahooFinance,Yahoo Finance,"RT @yfinanceplus: Today's most active stocks on @YahooFinance:

$TSLA: -2.53%
$RIVN: -12.96%
$AMD: +0.84%
$SNAP: +0.59%
$SE: +22.07%

https…",https://twitter.com/YahooFinance/status/1633195961693478913,Twitter Web App,Retweet (native),4,24
75,07/03/2023 19:34:02,@YahooFinance,Yahoo Finance,LIVE: Senate Banking Committee holds hearing on the federal debt limit https://t.co/brT5elyeXu,https://twitter.com/YahooFinance/status/1633189280959938563,Twitter Media Studio,New,4,10
76,07/03/2023 19:24:00,@YahooFinance,Yahoo Finance,Tesla slashes prices of high-end Model S and Model X EVs https://t.co/lJ6YXfuInt,https://twitter.com/YahooFinance/status/1633186755204579329,Twitter Media Studio,New,8,15
77,07/03/2023 19:11:19,@YahooFinance,Yahoo Finance,GBTC discount narrows following arguments in Grayscale-SEC lawsuit https://t.co/ZLfuE3uRpL by @DsHollers,https://twitter.com/YahooFinance/status/1633183564216037382,SocialFlow,New,2,8
78,07/03/2023 18:58:10,@YahooFinance,Yahoo Finance,RT @alexiskweed: TikTok ban: Senators to introduce legislation to shut down social app https://t.co/ES10hBRKN4 via @YahooFinance,https://twitter.com/YahooFinance/status/1633180255589654528,TweetDeck,Retweet (native),2,9
79,07/03/2023 18:32:00,@YahooFinance,Yahoo Finance,Amazon halts construction of its HQ2 in Arlington Virginia per instruction of CEO Andy Jassy https://t.co/NDSvONmU4L,https://twitter.com/YahooFinance/status/1633173668816891920,Twitter Media Studio,New,3,11
80,07/03/2023 18:12:39,@YahooFinance,Yahoo Finance,TikTok ban: Senators to introduce legislation to shut down social app https://t.co/kzvODvEjn9 by @DanielHowley,https://twitter.com/YahooFinance/status/1633168802522476547,SocialFlow,New,1,13
